"","name","mean_win_rate","mean_fs_win_rate","mean_sec_srv_rate","mean_sec_win_rate","mean_ace_rate","mean_pts_min","mean_bp_faced_rate","mean_bp_att_rate","mean_bp_save_rate","mean_age","mean_df_rate","hand","mean_rank","mean_svpt"
"81","Martin Klizan",0.344827586206897,0.672354948805461,0.404794013889055,0.480122324159021,0.0482420278004906,1.40117994100295,0.0997547015535568,0.0729166666666667,0.602459016393443,29.8007505487448,0.0498773507767784,0,54.7586206896552,87.3571428571429
"82","Marton Fucsovics",0.478260869565217,0.698783910196445,0.418217631349954,0.492238033635188,0.0491313789359392,1.43148743148743,0.0906623235613464,0.104884318766067,0.57185628742515,27.2205457846065,0.0439739413680782,1,44.5869565217391,83.7272727272727
"83","Matteo Berrettini",0.632352941176471,0.780296161982472,0.379281856878876,0.542455118874333,0.113594040968343,1.43821255405582,0.0659217877094972,0.0731489741302409,0.694915254237288,23.1839996779088,0.0271880819366853,1,30.9558823529412,78.9705882352941
"84","Matthew Ebden",0.1875,0.723255813953488,0.38213784025172,0.4030131826742,0.0891445003594536,1.55240793201133,0.106398274622574,0.0600444773906597,0.581081081081081,31.3779945243,0.0711718188353702,1,64.625,86.9375
"85","Maximilian Marterer",0.307692307692308,0.715946843853821,0.343302706358902,0.53125,0.0986984815618221,1.44699367088608,0.0867678958785249,0.0672546857772878,0.625,23.6516611383077,0.0249457700650759,0,84.3076923076923,70.9230769230769
"86","Mikael Ymer",0.5,0.597701149425287,0.336367880485528,0.477272727272727,0.0381679389312977,1.22705314009662,0.122137404580153,0.0894308943089431,0.5,21.0951403149,0.0458015267175573,1,75,65.5
"87","Mikhail Kukushkin",0.468085106382979,0.663308144416457,0.345141598015629,0.535222672064777,0.0348354990323472,1.45702005730659,0.087641692009953,0.0928041119360365,0.608832807570978,31.4531288683064,0.0141000829416644,1,51.2978723404255,76.9574468085106
"88","Milos Raonic",0.666666666666667,0.840023966446974,0.370577096901626,0.576923076923077,0.246518630033873,1.48489708634055,0.0376364320662401,0.0690131124913734,0.68,28.3303673283121,0.0459164471208129,1,18.0606060606061,80.5151515151515
"89","Miomir Kecmanovic",0.515151515151515,0.721761327377154,0.395752640146701,0.53988326848249,0.0497109826589595,1.51292477490561,0.079383429672447,0.0776587605202754,0.635922330097087,19.8858399186909,0.0327552986512524,1,67.5151515151515,78.6363636363636
"90","Mirza Basic",0,0.6875,0.380316778390924,0.475247524752475,0.0574712643678161,1.62048192771084,0.0842911877394636,0.0685920577617329,0.454545454545455,27.5418663016,0.0344827586206897,1,99,87
"91","Mischa Zverev",0,0.602888086642599,0.38620505375257,0.458333333333333,0.0674157303370786,1.63457760314342,0.134831460674157,0.0335917312661499,0.566666666666667,31.5701574264286,0.0471910112359551,0,79.8571428571429,63.5714285714286
"92","Nick Kyrgios",0.621621621621622,0.796175138399597,0.333111725330996,0.506944444444444,0.207345575959933,1.60043080236941,0.0550918196994992,0.0528992878942014,0.660606060606061,24.0857613260054,0.0397328881469115,1,43.7567567567568,80.945945945946
"93","Nicolas Jarry",0.475,0.722195474241695,0.373143768216977,0.522303325223033,0.106948640483384,1.4914113277623,0.0758308157099698,0.0581059390048154,0.637450199203187,23.5966461327875,0.03202416918429,1,64.2,82.75
"94","Nikoloz Basilashvili",0.549019607843137,0.693854324734446,0.421416573488946,0.506224066390041,0.0604732690622261,1.52260030472321,0.0904907975460123,0.0882618510158013,0.595641646489104,27.259813987202,0.0646362839614373,1,18.8235294117647,89.4901960784314
"95","Novak Djokovic",0.848484848484849,0.760715386987357,0.338104895352819,0.57185628742515,0.0789741502137187,1.38996297819827,0.0569916547934053,0.10145482388974,0.646428571428571,32.0804762200985,0.0329737431304702,1,1.09090909090909,74.4393939393939
"96","Pablo Andujar",0.4375,0.666026871401152,0.350267163262585,0.472895040369089,0.0230452674897119,1.38950354609929,0.0921810699588477,0.0871150729335494,0.526785714285714,33.4292436687125,0.0411522633744856,1,73.25,75.9375
"97","Pablo Carreno Busta",0.604166666666667,0.712979247274006,0.319533282180618,0.529499626587005,0.0554758488761358,1.47691509597095,0.0801052128168341,0.0867171369580179,0.698507462686567,28.0333675564771,0.021999043519847,1,49,87.125
"98","Pablo Cuevas",0.488888888888889,0.729471032745592,0.411047188599563,0.515965166908563,0.0713648528099911,1.45522868799656,0.0764198632173654,0.0828939660222613,0.571984435797665,33.37646969352,0.0404400832589949,1,63.2222222222222,78.2093023255814
"99","Pedro Sousa",0,0.483870967741935,0.392156862745098,0.2,0.0392156862745098,1.47058823529412,0.274509803921569,0.122448979591837,0.5,30.7296372348,0.0196078431372549,1,99,51
"100","Peter Gojowczyk",0.277777777777778,0.702013422818792,0.459517205386747,0.463452566096423,0.0713256484149856,1.63230861965039,0.10014409221902,0.0924242424242424,0.575539568345324,29.7037037036889,0.0597982708933718,1,77,77.1111111111111
"101","Philipp Kohlschreiber",0.488372093023256,0.71239837398374,0.378622653631797,0.553745928338762,0.0660200250312891,1.4527374301676,0.0782227784730914,0.0829046898638427,0.632,35.5532846250581,0.0228410513141427,1,49.4186046511628,74.3255813953488
"102","Pierre Hugues Herbert",0.466666666666667,0.719346049046321,0.397173857120189,0.507306889352818,0.0807914262159934,1.46665285832643,0.0868370431437208,0.0743753631609529,0.636075949367089,28.1303216974533,0.0392965100302281,1,47.0444444444444,80.8666666666667
"103","Prajnesh Gunneswaran",0.333333333333333,0.688721804511278,0.405012965691389,0.497835497835498,0.0692102928127773,1.57563025210084,0.0798580301685892,0.06233303650935,0.477777777777778,29.58320784852,0.0461401952085182,0,91.1333333333333,75.1333333333333
"104","Radu Albot",0.535714285714286,0.668801138384916,0.372847212232558,0.528465346534653,0.042014908515925,1.43617021276596,0.0871922295007906,0.0919963201471941,0.588082901554404,29.5455167693357,0.0338829907386492,1,54.9642857142857,79.0535714285714
"105","Rafael Nadal",0.890625,0.763795423956931,0.350930059796709,0.595903165735568,0.0676412830024002,1.2319440849081,0.0490944795985163,0.118743667679838,0.68,33.0214750171031,0.026183722452542,0,1.875,71.609375
"106","Reilly Opelka",0.543478260869565,0.806150253016738,0.358092487812175,0.544321329639889,0.246199850485921,1.52907200616095,0.0426115125841017,0.0565029269534233,0.649122807017544,21.8227539207935,0.0371293296785447,1,56.1739130434783,87.2391304347826
"107","Ricardas Berankis",0.375,0.682857142857143,0.427604272614976,0.518095238095238,0.0440816326530612,1.51381909547739,0.0881632653061225,0.0658227848101266,0.555555555555556,29.110540725525,0.04,1,75.3125,87.5
"108","Richard Gasquet",0.5,0.72638036809816,0.389674134561554,0.494706448508181,0.0779318096665418,1.44561974505018,0.0884226301985762,0.0849304772641864,0.635593220338983,33.0957845150471,0.0389659048332709,1,50.8823529411765,78.5
"109","Roberto Bautista Agut",0.661290322580645,0.725707257072571,0.340210944753603,0.560887822435513,0.0504167513722301,1.39929136004361,0.0668835129091279,0.0914189568143578,0.60790273556231,31.1370029365677,0.0217523886968896,1,17.8709677419355,79.3387096774194
